Site,MedianLogRho,MedianRho,rho_T1s,rho_T10s,rho_T100s,Nperiods,Slope_mid_1_100s
PRIDE.ZAM19B_RH_ZAM20B.2011-2012,7.783577576170854,60754377.612496436,14957604.323378177,79943584.0704303,165780459.77851412,84,0.5515385127086532
PRIDE.ZAM20B_RH_ZAM19B.2011-2012,7.782203343771641,60562437.16048792,20618226.958712485,87337204.6442792,169107407.53271496,84,0.5066792238077727
PRIDE.ZAM21B_RH_ZAM20B.2011-2012,7.927699342772116,84664109.10233985,17773303.687469345,102329671.9734746,119415851.94029206,56,0.3891197853234854
PRIDE.ZAM22B_LH_ZAM22B.2011-2012,7.292644618473089,19617543.23732405,8046287.688739992,36495056.91677687,38388699.335123695,84,0.36949527188814796
PRIDE.ZAM23B_RH_ZAM24B.2011-2012,7.391521066956872,24633213.27263179,10772969.41043975,38049457.075371,31536916.56686659,64,0.08964511395895475
PRIDE.ZAM24B_RH_ZAM23B.2011-2012,7.534930762747914,34271314.52627672,18472516.35169327,72388513.27961847,41434668.02353514,64,-0.13305558469464554
PRIDE.ZAM25B_RH_ZAM27B.2011-2012,7.374201080719612,23670153.848763328,17815709.776531886,74106409.77996317,55972144.31066136,84,0.24924821292481358
PRIDE.ZAM26B_RH_ZAM28B.2011-2012,7.429105407747413,26859962.85536601,23121437.850105472,83188948.19399622,66009909.80429537,84,0.20802069732372194
PRIDE.ZAM27B_RH_ZAM25B.2011-2012,7.6596650906424895,45673583.859989196,20796252.973783568,78356282.91619977,70173505.87718576,84,0.25494359379481507
PRIDE.ZAM28B_RH_ZAM26B.2011-2012,7.526104631454837,33581851.08430273,17610876.821996484,71041940.00408822,87036515.54328004,84,0.3446701775673737
PRIDE.ZAM29B_RH_ZAM30B.2011-2012,7.58038986216034,38053084.20768368,11263558.317525685,49358538.26339966,104555715.67768946,80,0.4828943581268814
PRIDE.ZAM30B_RH_ZAM29B.2011-2012,7.607444522824254,40499020.801118836,11525572.112784196,92310917.0684726,110076863.95808396,80,0.40606294744225796
PRIDE.ZAM31B_RH_ZAM39B.2011-2012,7.746239828953555,55749352.6682472,16587176.953768317,75963186.60715117,162206566.97983906,80,0.45311193410940365
PRIDE.ZAM32B_RH_ZAM33B.2011-2012,7.772503533085933,59224790.493004955,42197642.888489544,176155752.66484088,351135869.9681218,84,0.4487363090309794
PRIDE.ZAM33B_RH_ZAM32B.2011-2012,7.485018881183881,30550539.30424912,22368296.6749633,98895262.03397651,227273247.32889175,84,0.47011775943076867
PRIDE.ZAM34B_RH_ZAM40B.2011-2012,7.880157876474802,75885338.63257556,39414892.30226333,145691489.73596042,371556624.21823,76,0.4519023356275083
PRIDE.ZAM35B_RH_ZAM38B.2011-2012,7.722365729759436,52767404.12867652,31573079.53265908,89944055.73093455,210711291.43874162,71,0.4415655894156148
PRIDE.ZAM36B_RH_ZAM37B.2011-2012,7.692466539871051,49256839.20572609,68831530.01576157,97977760.78970776,70003396.19137871,80,-0.031257020797531176
PRIDE.ZAM37B_RH_ZAM36B.2011-2012,7.434978136520048,27225642.438747447,30458344.59443872,77532113.63605097,41378652.497194104,80,0.032566721232788205
PRIDE.ZAM38B_RH_ZAM35B.2011-2012,-5.212499419476795,6.13056611624546e-06,3.7317643960982266e-06,5.725209599330744e-05,1.8779572168075825e-05,71,0.3733224651591834
PRIDE.ZAM39B_RH_ZAM42B.2011-2012,7.496335233670338,31357052.53964463,31065943.22456069,78593200.81614965,31208994.233253036,84,-0.050866000016146495
PRIDE.ZAM40B_RH_ZAM34B.2011-2012,7.422834174699916,26474890.63144603,57750672.612300776,106639763.69764338,38168711.471142866,76,-0.16704595588251148
PRIDE.ZAM42B_RH_ZAM39B.2011-2012,7.323590716688578,21066418.944931183,84622699.95009328,55058057.99954123,15554210.946572505,84,-0.418766289498685
PRIDE.ZAMC64L.2011-2012,6.028210449964429,1067113.0965072862,,2003124.3034018767,778063.9999166187,25,-0.24839225011274038
PRIDE.ZAMC65L1.2011-2012,6.974096938914281,9420998.59258395,,12137765.632275421,8672025.37015714,24,-0.01903953818775771
PRIDE.ZAMC65L2.2011-2012,8.246060493126633,176222149.01559058,,536941028.3704915,122711477.66686521,24,-0.49294729041133073
SAMTEX.CPV001.2006,6.986982912718811,9704717.833606683,3318977.5907931244,14275527.156867964,60533158.617597796,80,0.6688140543919165
SAMTEX.CPV002.2006,7.231029204320546,17022729.746297427,3585245.4115265957,19630952.542969976,72798997.52183402,80,0.7197598613041127
SAMTEX.CPV003.2006,7.207785113147946,16135599.774439827,4074686.966866234,13367176.772216415,58959562.87922071,80,0.6798383287422546
SAMTEX.CPV004.2006,7.045605470554164,11107222.469507484,3664848.186779884,22746776.33147922,91302546.4281923,84,0.7233705737201103
SAMTEX.CPV005.2006,7.367242904664927,23293937.43479651,6947540.93114998,28254756.90418631,134359517.61866227,84,0.726262398242294
SAMTEX.CPV006.2006,7.187134722073649,15386318.637907324,2516307.4533837056,12275188.599462545,71379314.44918233,80,0.7332615825515246
SAMTEX.CPV007.2006,7.025073007688749,10594318.074924085,3757786.1560164467,15390438.465172153,62771808.42491354,86,0.6351454097052573
SAMTEX.CPV008.2006,7.296178064931693,19777803.829513382,9710631.25464053,26694494.940198276,95334650.49348888,86,0.502983255768175
SAMTEX.CPV009.2006,7.374964633710025,23711806.03333846,11762647.475277236,42516265.459288165,110925715.64476445,80,0.4662076326844656
SAMTEX.CPV010.2006,8.108279488404172,128315608.67555316,82766976.59331541,231414358.5857304,207755585.1967449,80,0.1350334034354683
SAMTEX.CPV011.2006,8.76325184545587,579764802.0177188,1463425337.3111594,1075712871.054823,487403212.08987856,80,-0.24728894683023883
SAMTEX.CPV012.2006,8.86566613114869,733949419.2091907,1979050310.6679983,1626025963.4483197,774670700.3804277,80,-0.20831846564591636
