Site,MedianLogRho,MedianRho,rho_T1s,rho_T10s,rho_T100s,Nperiods,Lat,Lon
Barotse Basin Western Province Zambia,8.246060493126633,176222149.01559058,,536941028.3704915,122711477.66686521,24,-16.32438888888889,22.13191666666667
Botswana Africa,9.084224278995046,1214015632.3475046,2611960590.866589,1267693478.1098793,728598056.7374158,88,-21.147116666666665,24.623608333333333
Botswana Africa,9.084224278995046,1214015632.3475046,2611960590.866589,1267693478.1098793,728598056.7374158,88,-24.34572777777778,25.52583055555555
Botswana Africa,9.084224278995046,1214015632.3475046,2611960590.866589,1267693478.1098793,728598056.7374158,88,-20.456005555555556,24.490555555555556
Botswana Africa,9.084224278995046,1214015632.3475046,2611960590.866589,1267693478.1098793,728598056.7374158,88,-22.293533333333336,26.76758055555555
Botswana Africa,9.084224278995046,1214015632.3475046,2611960590.866589,1267693478.1098793,728598056.7374158,88,-24.248505555555557,23.29416666666667
Botswana Africa,9.084224278995046,1214015632.3475046,2611960590.866589,1267693478.1098793,728598056.7374158,88,-20.618783333333333,24.415555555555553
Botswana Africa,9.084224278995046,1214015632.3475046,2611960590.866589,1267693478.1098793,728598056.7374158,88,-21.252394444444445,24.956108333333333
Botswana Africa,9.084224278995046,1214015632.3475046,2611960590.866589,1267693478.1098793,728598056.7374158,88,-21.09100555555555,24.447777777777777
Botswana Africa,9.084224278995046,1214015632.3475046,2611960590.866589,1267693478.1098793,728598056.7374158,88,-23.670755555555555,22.74119444444445
Botswana Africa,9.084224278995046,1214015632.3475046,2611960590.866589,1267693478.1098793,728598056.7374158,88,-20.79322777777778,24.369441666666667
Botswana Africa,9.084224278995046,1214015632.3475046,2611960590.866589,1267693478.1098793,728598056.7374158,88,-20.05295,23.479999999999997
Botswana Africa,9.084224278995046,1214015632.3475046,2611960590.866589,1267693478.1098793,728598056.7374158,88,-24.13992222222222,23.144805555555553
Botswana Africa,9.084224278995046,1214015632.3475046,2611960590.866589,1267693478.1098793,728598056.7374158,88,-21.31739444444445,25.83360833333333
Botswana Africa,9.084224278995046,1214015632.3475046,2611960590.866589,1267693478.1098793,728598056.7374158,88,-24.32742222222222,23.460083333333333
Botswana Africa,9.084224278995046,1214015632.3475046,2611960590.866589,1267693478.1098793,728598056.7374158,88,-21.17183888888889,24.788608333333336
Botswana Africa,9.084224278995046,1214015632.3475046,2611960590.866589,1267693478.1098793,728598056.7374158,88,-23.21433888888889,26.0575
Botswana Africa,9.084224278995046,1214015632.3475046,2611960590.866589,1267693478.1098793,728598056.7374158,88,-23.810727777777775,22.901666666666664
Botswana Africa,9.084224278995046,1214015632.3475046,2611960590.866589,1267693478.1098793,728598056.7374158,88,-23.35072777777778,25.86305555555556
Botswana Africa,9.084224278995046,1214015632.3475046,2611960590.866589,1267693478.1098793,728598056.7374158,88,-20.96795,24.363330555555557
Botswana Africa,9.084224278995046,1214015632.3475046,2611960590.866589,1267693478.1098793,728598056.7374158,88,-23.853505555555557,25.69555555555555
Botswana Africa,9.084224278995046,1214015632.3475046,2611960590.866589,1267693478.1098793,728598056.7374158,88,-24.17045,25.603608333333337
Botswana Africa,9.084224278995046,1214015632.3475046,2611960590.866589,1267693478.1098793,728598056.7374158,88,-24.523533333333333,25.51897222222222
Botswana Africa,9.084224278995046,1214015632.3475046,2611960590.866589,1267693478.1098793,728598056.7374158,88,-21.315727777777777,25.456666666666667
Botswana Africa,9.084224278995046,1214015632.3475046,2611960590.866589,1267693478.1098793,728598056.7374158,88,-23.67322777777778,25.761666666666667
Botswana Africa,9.084224278995046,1214015632.3475046,2611960590.866589,1267693478.1098793,728598056.7374158,88,-21.28795,25.1375
