period_s,rho_det,phase_det_deg
0.0017200010320006193,9796.942727616679,68.91318023792164
0.00222000222000222,1334.9661353276879,-24.889641114175888
0.0029399996060400528,4949664.239450597,-77.39794493496277
0.004,23816884.815801967,-86.6929913572348
0.0052600018936006816,22482333.579416387,-80.6656449613623
0.006670001667500416,33928742.91849569,-80.0607681910734
0.009090000090900002,50036359.9894542,-78.9585583949193
0.0125,72195920.91119306,-76.70611867870979
0.016670000666800026,89438435.31215446,-73.19683468097847
0.022229978014551746,116946811.22310193,-71.3384281590001
0.03078002745578449,130206755.6335863,-64.3959481586949
0.08,183745267.14484516,-50.947001258138656
0.1066700004597477,179472384.1092155,-47.0734565837023
0.14546000417179292,185005734.45753884,-45.83548434421088
0.18826010015437328,176100688.57432216,-43.454982702938196
0.24617990334976994,169035205.19686535,-40.841868623017376
0.3200399409846349,162120004.99023986,-39.2572850765158
0.42671946608860406,156372161.94687718,-37.67082790478597
0.5818892781081616,148060649.1608652,-35.959316199736726
0.6321312304434401,143785878.2683215,-35.751603278177406
0.8533806675143581,135402965.63653407,-34.31112655470823
1.1378300147952036,126487530.4171776,-32.748660094250134
1.551589898653251,113817119.32544205,-31.525128859994414
2.0080889840455325,102704108.98458777,-29.649789424444595
2.6259676690860583,94392667.9546518,-29.49553218335179
3.4137615555828655,84673758.35105337,-28.91072069864276
4.551682074110487,75142234.44892801,-27.759796367991385
6.206823782066003,66736430.781858034,-28.131632165515004
8.277323444690925,57512487.2446328,-27.426635499442103
10.926080368095278,52847081.572459385,-28.24989873354048
15.175110148537012,41297219.50712727,-27.96326052269775
21.01166988145216,41164589.5054912,-28.673149555630346
26.64271664058789,38315423.38366149,-28.95861828257977
35.23719920645827,32793561.493585456,-29.548907905763002
47.49352900667284,31068470.23950629,-31.676901336859434
64.25620232992989,27443645.075199593,-32.46291538687431
84.02725844263878,26701478.127097804,-32.23435293475487
112.049199458892,26809776.479504146,-32.872520221649474
150.6868078672377,23101743.02990551,-33.730708573861136
198.63261309147825,23761978.66922772,-34.201730947462146
257.05421016238114,22538510.29188033,-35.518780455384196
336.14801269294895,21476087.336054806,-31.799835332454776
485.54767349832247,17401862.66703204,-32.52637349118873
647.2994666252395,13305221.19214698,-32.01490412789906
873.8585223052388,8422654.603234513,-32.92481202236814
1165.1410310006743,8862033.966008255,-27.07908802799266
1941.902170852437,1862328.7254702593,3.074926141308331
