period_s,Zdet_real,Zdet_imag,rho_det,phase_det_deg
0.003125,134.65511657691704,-121.9268335442987,13060202.875111591,-42.16005134911234
0.0037735849056603774,124.81751564937636,-108.16758859865497,13037761.117947677,-40.91239308956404
0.004366812227074236,115.63985283725914,-100.12913273297941,12940805.058760345,-40.88832137761633
0.005154639175257732,107.29273902037262,-91.80180713625464,13017228.387927389,-40.55095590822708
0.006289308176100629,99.02755741647057,-81.68791043856599,13126646.70188489,-39.519248876667966
0.007575757575757576,90.2264545543038,-73.98681463391465,13063199.970345423,-39.35217861669587
0.008695652173913044,84.07047137984745,-69.88627876818633,13162872.981553614,-39.736141191470395
0.010309280476140305,76.59001943064906,-63.000416661553906,12841527.249969354,-39.439583826647244
0.012658229450408792,69.35895622473747,-54.79960419438949,12526732.986148313,-38.311801892306356
0.015151519742884772,62.816317419272245,-46.643367408068876,11746915.732980652,-36.59521030690074
0.017543859649122806,58.41905690431904,-42.39269196348095,11576226.400756074,-35.967095830328375
0.020408159100375693,53.528911598595606,-33.78867638850032,10357036.429619603,-32.26106019757808
0.025,46.13268020205812,-32.22613263101637,10026832.378115928,-34.936348833249696
0.030303030303030304,41.17690366399825,-28.450600488743383,9613899.132940775,-34.64198675262767
0.03636363636363636,36.781762107784544,-25.111404145819243,9134936.653265528,-34.32187953047684
0.044444444444444446,32.45990176146437,-21.77591522789658,8600117.898949428,-33.85591613250015
0.05319148936170213,29.704746889806525,-19.52271299568583,8511978.561285153,-33.31393213616238
0.0617283950617284,26.988990636372677,-17.359608365578467,8050668.6746211,-32.74955888532765
0.07299270072992702,24.212855959012188,-15.425346864319524,7619461.35309332,-32.50009493831007
0.08928571428571429,21.461979051837666,-13.198059968535862,7178485.222750193,-31.58946794497118
0.1063830013580854,18.78653251197373,-11.537682944571058,6548852.060471654,-31.55601981299408
0.1234568053650377,16.295356555004794,-10.543238398889056,5890053.202991816,-32.90322088626654
0.1449274942239147,14.319562126093212,-9.903024730669873,5563848.513425185,-34.66669361675872
0.17857139668367916,11.978433770800907,-8.886957637003713,5031249.292508009,-36.572205974218406
0.2127660027161708,10.3441798653316,-8.306040064996175,4742488.798983537,-38.763331592548695
0.243902379536005,9.150068315296647,-7.917097127790945,4522512.468444762,-40.86799969494072
0.2941175605536587,7.884024039080828,-7.5889294320194045,4460726.563852064,-43.90740794303974
0.35587188612099646,6.574776648448315,-7.227906526708771,4303009.741844733,-47.70916113586917
0.4273504273504274,5.607618377841171,-7.024224827064837,4372459.298129374,-51.39873774429937
0.4926108374384237,4.938541882917627,-6.879155193644462,4474102.152257407,-54.32545369169307
0.5813953488372093,4.270537332585732,-6.821028231818082,4768863.7719960315,-57.9499719849774
0.7092198581560284,3.562939988949575,-6.688006918559852,5158036.711919751,-61.95417896266619
0.8547008547008548,3.1052901600647327,-6.616584183940552,5782886.339927305,-64.85843203733404
0.9803921568627451,2.780389770622865,-6.557488347845041,6299200.15910165,-67.02294654576008
1.1627909680909227,2.499981926856963,-6.512468252952598,7166436.081959739,-68.99938974515622
1.42857102040828,2.190397566202515,-6.491932982732971,8493433.11876686,-71.35545153902875
1.6949149669635648,2.05252700547715,-6.468607512352067,9886488.005642489,-72.39546256050048
1.9607839292580533,1.97804878321691,-6.484703309132941,11414537.84985032,-73.03656203421474
2.3255808545160805,1.8611691763469502,-6.382446670723085,13018466.094090942,-73.74292073374708
2.857142857142857,1.8281060448585922,-6.344246963655059,15774058.656539595,-73.92556958724359
3.4129692832764507,1.7911100832268818,-6.211486396578932,18064321.529922046,-73.91484530332994
3.937007874015748,1.9705361709982316,-6.231019528684691,21295706.905489888,-72.45063986336265
4.651162790697675,2.0369665543030813,-6.297989129392197,25809745.287644166,-72.0771712471274
5.6818181818181825,2.1193000744039856,-6.196651550907405,30864046.80319983,-71.1189375048796
6.849315068493151,2.0806077185039595,-5.815522210237518,33093534.592129398,-70.31441627802974
7.874015748031496,2.540689160304354,-5.763160480633718,39560257.9341604,-66.20971731829944
9.345794392523365,2.6509520488570284,-6.213919677719802,54022590.295190744,-66.8961720590826
11.363640237604628,2.4754978956927185,-5.201538972568719,47759278.18917489,-64.54945530849272
13.698630136986303,2.9015252725813756,-5.174731510896652,61064568.65724039,-60.720201502172124
15.873020912070132,2.351795386128544,-4.657979073126539,54736998.80999534,-63.21096872794552
18.51851851851852,2.2270089675757267,-4.079949323642056,50673621.50292426,-61.37242021557087
22.727267561984647,2.1610664400325246,-3.5760410390449264,50252640.794836625,-58.85467033081786
27.027027027027028,2.05610708565807,-3.274087287457288,51164541.18551553,-57.87142666440104
31.25,2.0190690369849715,-3.0335732397773802,52557222.96754984,-56.35327594969534
37.174721189591075,1.9678029536702257,-2.825246374242654,55812649.42785127,-55.14253116034697
45.45454545454546,1.883283270384341,-2.511492727843632,56730373.18124489,-53.13501249351204
54.6448087431694,1.7583241424189247,-2.3439151145187753,59419904.02763672,-53.12403581013197
62.893081761006286,1.6449908863879188,-2.149478353544038,58357275.58514812,-52.573252192708274
74.6268656716418,1.5592775810404698,-1.9782674503279702,59969368.573918924,-51.75469311254783
90.90909090909092,1.4329252816988125,-1.7453367598979663,58714189.78947371,-50.61392999928017
108.69569943291279,1.3381153104753865,-1.6906955200922904,64000378.440218106,-51.63984788219516
126.58229450408791,1.2893810162135575,-1.6037791020240666,67888581.35361563,-51.201963507685804
149.25370906661058,1.2578783301923475,-1.4755537245901524,71066907.43830611,-49.553110128041574
181.81821487603906,1.137662374983784,-1.3013729323482313,68802788.3463006,-48.83999185238227
217.3913043478261,1.07245236419596,-1.1368847778082651,67253617.11945163,-46.670482609320814
250.0,1.0171047631412775,-1.052388333173721,67822605.1406,-45.97676276686843
294.1175605536586,0.9217994275373759,-0.9313794223227632,63965750.97169854,-45.29618748325426
363.6363636363637,0.8336561416752796,-0.8790414742232209,67594883.71440753,-46.5179443016995
436.6812227074236,0.8080792711163817,-0.7545916397778621,67606485.18987526,-43.039625913716016
505.0505050505051,0.7322121590694209,-0.6608875018540228,62232375.207670584,-42.06909933921698
595.2380952380952,0.6551510388865683,-0.694315269261486,68700630.8177658,-46.6623723059949
729.9270072992701,0.6030685704749806,-0.5322811050617209,59814154.21524341,-41.43230640180306
877.1929824561404,0.668037088134591,-0.5748411419865608,86291418.08390002,-40.71175988413958
1010.1010101010102,0.5929762958854627,-0.46713780795483034,72899903.24825741,-38.23050811053109
1190.4760487528513,0.5127782173134534,-0.5187942333644844,80226006.66689232,-45.334138839488595
