period_s,Zdet_real,Zdet_imag,rho_det,phase_det_deg
0.003125,378.15541352025934,-1134.5089300002194,566018138.7576185,-71.56569795927122
0.0037735849056603774,388.3658704446682,-1100.5987057733857,651010379.6255375,-70.56370250345046
0.004366812227074236,366.96507771641996,-1080.35736591444,719997294.0981711,-71.23891251875274
0.005154639175257732,370.52322961202157,-1067.7089216728011,833869297.0825205,-70.86187356445832
0.006289308176100629,373.1577135077376,-1041.9954061428086,975774858.332019,-70.2966203739466
0.007575757575757576,350.88365443293077,-1021.0251415043633,1118382149.017197,-71.03429663674527
0.008695652173913044,333.77532076807375,-1018.7914975688772,1265790217.2081857,-71.86022769121945
0.010309280476140305,319.01191538900775,-996.6021843308773,1429705542.5738356,-72.25015430231777
0.012658229450408792,321.38083735770505,-967.5103342380731,1666287819.698912,-71.62490452778478
0.015151519742884772,331.94137613482036,-917.6144545587126,1827238608.7730684,-70.11272148805296
0.017543859649122806,335.2028101055864,-885.8231960399565,1993191343.4790604,-69.27294371629226
0.020408159100375693,342.27059881844593,-831.694099699229,2090690441.4281158,-67.63115631676146
0.025,344.00703198061916,-820.5908140612418,2506781458.758435,-67.25565652832802
0.030303030303030304,352.0841857511794,-787.2424302614259,2854317213.971751,-65.90402523923223
0.03636363636363636,360.6980140942087,-745.1694420914993,3156525866.25556,-64.17077499480484
0.044444444444444446,368.42070580765716,-691.8865768767706,3458659687.52759,-61.96527276227817
0.05319148936170213,383.19733266859856,-667.0187777404446,3986518656.3742795,-60.122952480373186
0.0617283950617284,391.3448371437207,-618.1321121146806,4184487404.88872,-57.66174211569685
0.07299270072992702,396.3782707877535,-576.3145307112171,4522975528.737868,-55.480539902285614
0.08928571428571429,403.3846625003339,-511.2691661553817,4795967508.7097,-51.72702350436734
0.1063830013580854,398.8754961573146,-452.0119190064252,4896514803.372191,-48.573380364824615
0.1234568053650377,375.6559201025333,-411.16242063512925,4849843915.748826,-47.58381542660895
0.1449274942239147,362.5065432951434,-374.51243095743854,4986589529.348685,-45.93325393347533
0.17857139668367916,336.322288724919,-316.4965797639304,4823673779.781059,-43.26049693903771
0.2127660027161708,315.5231596296592,-266.2233999734981,4592592815.072515,-40.15607748704872
0.243902379536005,293.90902543987096,-227.71299117521318,4270183998.9315166,-37.76758379409807
0.2941175605536587,270.37823898022685,-198.19020100003272,4186342282.7009583,-36.24182305435719
0.35587188612099646,242.1988407488421,-167.37709727756393,3906606404.7489767,-34.64730670671386
0.4273504273504274,219.79313612153052,-143.71014705835378,3732518099.156948,-33.1783747670084
0.4926108374384237,200.97921219998545,-127.42701676107315,3533157539.610393,-32.37595731699938
0.5813953488372093,179.99113413888904,-110.51570321231134,3284877618.993852,-31.550190118547196
0.7092198581560284,157.26722327914229,-93.53669266435368,3007486907.8297625,-30.74260697270829
0.8547008547008548,139.57917054517307,-80.21944183602524,2805547170.7189784,-29.8869983502432
0.9803921568627451,127.07957704662373,-71.25715806213631,2635691973.8177104,-29.28059770695509
1.1627909680909227,112.48227827761436,-62.47444025762083,2438088470.1171875,-29.04848708312664
1.42857102040828,97.5936411100021,-52.95876099917896,2230720765.063249,-28.486276587519143
1.6949149669635648,86.40234292725317,-45.42611710557838,2045506264.9110074,-27.733193617132482
1.9607839292580533,77.56902509144012,-41.19647857580936,1915691039.640881,-27.972523169283185
2.3255808545160805,69.32401128246678,-36.969591737688404,1818057783.2518883,-28.070418625812465
2.857142857142857,59.86190638095974,-33.31108361763073,1698242957.6644633,-29.094426967617256
3.4129692832764507,53.25769289452243,-29.548482552970427,1603457299.6893604,-29.02243011186685
3.937007874015748,47.92085565438214,-27.169371218221833,1513127733.803065,-29.55164973324858
4.651162790697675,43.5170496169986,-24.289567678039905,1463099514.0625305,-29.168599039847763
5.6818181818181825,38.13849848830821,-22.000189859573254,1395003743.9584844,-29.97849448403647
6.849315068493151,34.04404027486394,-20.324457727626115,1363741718.6646028,-30.837407063888797
7.874015748031496,31.155781594345115,-18.914418097033643,1324792365.5991068,-31.261592274778447
9.345794392523365,28.085277929861977,-17.296366573086154,1287758075.45212,-31.62690986108269
11.363640237604628,24.629127528438257,-15.763070265119206,1230632989.9856715,-32.61995048574311
13.698630136986303,22.074222094563304,-14.248520371391471,1197622660.514955,-32.84152813282141
15.873020912070132,19.888488276273666,-13.042653179022125,1137175384.4674666,-33.25642447797683
18.51851851851852,18.014782827132237,-11.727918361022109,1083753120.6486826,-33.064785767458915
22.727267561984647,15.784992065532423,-10.39027397331228,1027960074.758556,-33.35441224640658
27.027027027027028,14.108077688298913,-9.226999269423485,972735980.0738084,-33.185586285626975
31.25,12.845053062026286,-8.580104521863374,944398849.1529062,-33.74171766875556
37.174721189591075,11.661607773289969,-7.750207983245484,923090690.9669363,-33.60768326238755
45.45454545454546,10.243030581194278,-6.8923144996483705,877485632.4196686,-33.93575997878055
54.6448087431694,9.242873291586687,-6.014795367779234,841633478.2372267,-33.0540465975629
62.893081761006286,8.567471600085714,-5.57751014642242,832476105.1418864,-33.0645319541282
74.6268656716418,7.771489084170129,-4.887595092428039,796624842.313154,-32.16634524683041
90.90909090909092,6.846695355356779,-4.280116308378207,750659092.6314716,-32.01098963786013
108.69569943291279,6.1162362726005135,-3.7621685979226434,709830347.0601122,-31.596159804037796
126.58229450408791,5.594024462250722,-3.3926140669186777,686209664.8935916,-31.235600221065436
149.25370906661058,5.102845794126891,-2.9982326529154646,662149606.0781981,-30.436829547289495
181.81821487603906,4.545043489577671,-2.620131468499187,633775845.3305514,-29.962634237775085
217.3913043478261,3.9947533326330773,-2.2633528119013246,580416752.3663424,-29.53508281537163
