period_s,Zdet_real,Zdet_imag,rho_det,phase_det_deg
0.030303030303030304,6.833263406326724,-7.44528350382889,391950.7717467469,-47.454361607173134
0.03636363636363636,6.1771644568235615,-6.867187875855542,392921.8463522986,-48.028024245002406
0.044444444444444446,5.534653547893479,-6.303112809597028,396062.37340368325,-48.714195667073916
0.05319148936170213,5.2178302209875,-5.939662449728504,421084.7911497248,-48.70158294137818
0.0617283950617284,4.798271012756787,-5.498358258232638,416349.9166470386,-48.889661656161934
0.07299270072992702,4.509787118990288,-5.268976243989918,444669.55920242803,-49.43933976518869
0.08928571428571429,3.99210448346604,-4.658523318199712,425625.16248848516,-49.40519698447753
0.1063830013580854,3.6126448657902666,-4.468698146588621,444903.37986964727,-51.04676812805606
0.1234568053650377,3.1904328896420835,-4.2524452386134035,441906.65126816847,-53.12062707185002
0.1449274942239147,2.881437264334601,-4.063810643137995,455527.3849179762,-54.66152478053216
0.17857139668367916,2.5190621462447114,-3.7738908122633172,465623.3603708819,-56.276994650234805
0.2127660027161708,2.245876863463806,-3.6369608277411087,492363.0387119641,-58.304059085336085
0.243902379536005,2.0567645975878834,-3.532178126177617,516075.7064906698,-59.788032146313405
0.2941175605536587,1.8752674704657164,-3.413271793771111,564979.1367557773,-61.215400770354094
0.35587188612099646,1.6731141326216996,-3.2700535391838104,608132.6761312648,-62.903565939156444
0.4273504273504274,1.5458753619189438,-3.135682537863332,661523.1725691238,-63.75693981852297
0.4926108374384237,1.4484183580302015,-3.04087954725497,707804.8430006361,-64.53081143023871
0.5813953488372093,1.3369472023965956,-2.9495580401801527,772229.4488917425,-65.61662249935334
0.7092198581560284,1.223048099020138,-2.818044045833086,847686.3376886391,-66.5388659189055
0.8547008547008548,1.1480247526660443,-2.7144036186116716,940246.2777218655,-67.07464552731163
0.9803921568627451,1.0868456148870036,-2.6267887513763477,1003433.9119539548,-67.5224550516817
1.1627909680909227,1.0102054093998958,-2.5411913789011047,1101303.880184669,-68.32058578177359
1.42857102040828,0.9358853918620557,-2.447882407017667,1242633.3532826675,-69.07692050217722
1.6949149669635648,0.8860827757406113,-2.3553335331915015,1359407.7878884103,-69.38356600980443
1.9607839292580533,0.8445409804730306,-2.293071654319615,1482921.4242633206,-69.78118851073205
2.3255808545160805,0.7913068539092968,-2.213911318045125,1628080.787085067,-70.33184947066907
2.857142857142857,0.7376097330524352,-2.1433904545628724,1859312.7481517876,-71.01000876003775
3.4129692832764507,0.7105014404866247,-2.0784147108171744,2085478.7105005276,-71.12712102846211
3.937007874015748,0.6855168057811294,-2.0244128865678,2277822.2855018475,-71.29261477814477
4.651162790697675,0.661875164396753,-1.9753010517763359,2556529.613092694,-71.47525665063382
5.6818181818181825,0.6266253314069803,-1.907399303177428,2900629.3273662576,-71.81343729567337
6.849315068493151,0.6292630258697003,-1.8519584761023347,3318721.7193662925,-71.23313956434524
7.874015748031496,0.6598760659848089,-1.822095724701553,3745163.2853262457,-70.0920317957639
9.345794392523365,0.6623712112348756,-1.7698477213415698,4226959.488380966,-69.4814761034254
11.363640237604628,0.6931753266252212,-1.6894827557744598,4799580.37078241,-67.69222178324033
13.698630136986303,0.7017905762330033,-1.57400313409756,5152799.621182112,-65.96965127649202
15.873020912070132,0.7053679739829471,-1.5089283419163875,5577509.218924354,-64.94565700138486
18.51851851851852,0.716749682145472,-1.4353468768255375,6036938.379907119,-63.464455814005206
22.727267561984647,0.7201904563982444,-1.331227255998011,6594051.080677886,-61.586728111453596
27.027027027027028,0.7127537953091396,-1.2299231805617072,6916981.567066615,-59.9072438728294
31.25,0.7127647215467564,-1.1674172121711495,7404744.03913839,-58.59391421197517
37.174721189591075,0.7036089577242549,-1.0838892923046484,7862192.218513212,-57.01029954081537
45.45454545454546,0.6842245757651043,-0.9834104810037216,8262624.188813458,-55.17107694262501
54.6448087431694,0.6613461014990063,-0.90212785333981,8659454.614635894,-53.75501508070254
62.893081761006286,0.6487482056311735,-0.838259808441018,8949669.410322312,-52.262902502759296
74.6268656716418,0.6254980009051864,-0.7576972442750624,9124131.970492236,-50.45947581828042
90.90909090909092,0.5895898767923178,-0.6658856190307303,9107621.655864058,-48.477610395083126
108.69569943291279,0.5652840041764176,-0.5903463647035933,9196757.625051416,-46.242388965426684
126.58229450408791,0.5423390026121058,-0.5427675875430995,9438394.061030192,-45.022630132979295
