     1.00000 +1.0831E+02 +1.5536E+00 +4.4172E+01 +4.1095E-01
      2.15443 +1.0586E+02 +1.4527E+00 +4.6672E+01 +3.9315E-01
      4.64159 +9.8612E+01 +1.1579E+00 +5.4047E+01 +3.3639E-01
     10.00000 +8.9443E+01 +8.6614E-01 +6.1041E+01 +2.7742E-01
     21.54435 +6.1790E+01 +5.3567E-01 +6.4313E+01 +2.4835E-01
     46.41589 +3.7975E+01 +3.3059E-01 +6.4197E+01 +2.4940E-01
    100.00000 +2.5041E+01 +2.3254E-01 +6.2334E+01 +2.6603E-01
    215.44347 +1.9166E+01 +1.9000E-01 +6.0285E+01 +2.8401E-01
    464.15888 +1.3241E+01 +1.6043E-01 +5.2712E+01 +3.4711E-01
   1000.00000 +1.2484E+01 +1.9654E-01 +3.8076E+01 +4.5103E-01
   2154.43469 +1.7414E+01 +3.1699E-01 +2.4471E+01 +5.2149E-01
   4641.58883 +3.2428E+01 +6.2034E-01 +1.6965E+01 +5.4802E-01
  10000.00000 +5.3198E+01 +1.0299E+00 +1.4545E+01 +5.5459E-01
 
