     1.00000 +1.0467E+02 +6.2801E+00 +4.6092E+01 +1.7189E+00
     2.15443 +1.0646E+02 +6.3876E+00 +4.7502E+01 +1.7189E+00
     4.64159 +1.1427E+02 +6.8564E+00 +5.2603E+01 +1.7189E+00
    10.00000 +8.8377E+01 +5.3026E+00 +6.1657E+01 +1.7189E+00
    21.54435 +5.0360E+01 +3.0216E+00 +6.2563E+01 +1.7189E+00
    46.41589 +3.5360E+01 +2.1216E+00 +6.5768E+01 +1.7189E+00
   100.00000 +2.7507E+01 +1.6504E+00 +6.2248E+01 +1.7189E+00
   215.44347 +1.9038E+01 +1.1423E+00 +5.9964E+01 +1.7189E+00
   464.15888 +1.3548E+01 +8.1287E-01 +5.1542E+01 +1.7189E+00
  1000.00000 +1.1882E+01 +7.1294E-01 +4.0232E+01 +1.7189E+00
  2154.43469 +1.8272E+01 +1.0963E+00 +2.4212E+01 +1.7189E+00
  4641.58883 +3.1456E+01 +1.8873E+00 +1.6245E+01 +1.7189E+00
 10000.00000 +5.4915E+01 +3.2949E+00 +1.3941E+01 +1.7189E+00
