Site,File,Skew,Lat,Lon,Is1D,Tectonic_Unit
SAMTEX.mol105.2005,SAMTEX.mol105.2005.edi,0.0603645822420662,-23.860555555555557,24.86638611111111,True,archean
SAMTEX.rtz419.2005,SAMTEX.rtz419.2005.edi,0.0605467196640446,-23.55072777777778,20.568608333333337,True,paleoproterozoic_shields
SAMTEX.kal012.2008,SAMTEX.kal012.2008.edi,0.0622199427522442,-22.510533333333335,23.83621944444444,True,limpopo
SAMTEX.mof109.2005,SAMTEX.mof109.2005.edi,0.0624620025814887,-20.79322777777778,24.369441666666667,True,paleoproterozoic_belts
SAMTEX.ELZ294A.2008,SAMTEX.ELZ294A.2008.edi,0.0626349622195354,-17.711672222222223,24.511941666666665,True,mesoproterozoic_belts
SAMTEX.mof101.2005,SAMTEX.mof101.2005.edi,0.0631053762203789,-20.05295,23.479999999999997,True,mesoproterozoic_belts
SAMTEX.bot228.2005,SAMTEX.bot228.2005.edi,0.0636465651348456,-24.13992222222222,23.144805555555553,True,archean
SAMTEX.rtz401.2005,SAMTEX.rtz401.2005.edi,0.0648947418941724,-24.23600555555556,23.245,True,archean
SAMTEX.kof009.2004,SAMTEX.kof009.2004.edi,0.0649152813697242,-27.99888888888889,26.089719444444444,True,archean
SAMTEX.mak006.2006,SAMTEX.mak006.2006.edi,0.0652892729377278,-20.210277777777776,25.091388888888886,True,paleoproterozoic_belts
SAMTEX.san009.2008,SAMTEX.san009.2008.edi,0.0658599807807697,-22.021838888888887,24.045580555555556,True,limpopo
SAMTEX.kal023.2008,SAMTEX.kal023.2008.edi,0.0659221644535124,-21.938616666666668,25.672997222222225,True,limpopo
SAMTEX.GIB010A.2008,SAMTEX.GIB010A.2008.edi,0.06626523912808,-25.119366666666668,18.02861111111111,True,paleoproterozoic_shields
SAMTEX.kal009.2008,SAMTEX.kal009.2008.edi,0.0663979748017298,-22.367116666666668,23.2385,True,archean
SAMTEX.kal018.2008,SAMTEX.kal018.2008.edi,0.0664506073749358,-22.472116666666665,24.866469444444444,True,limpopo
SAMTEX.rtz413.2005,SAMTEX.rtz413.2005.edi,0.0672784445420552,-23.939061111111112,21.6325,True,paleoproterozoic_shields
SAMTEX.RAK022A.2008,SAMTEX.RAK022A.2008.edi,0.0675895977428576,-17.737033333333333,18.406469444444443,True,paleoproterozoic_shields
SAMTEX.kim412.2004,SAMTEX.kim412.2004.edi,0.0680123809109991,-26.28658888888889,21.41952777777778,True,paleoproterozoic_shields
SAMTEX.ELZ192A.2008,SAMTEX.ELZ192A.2008.edi,0.0693094207525754,-17.67272777777778,24.29319166666667,True,mesoproterozoic_belts
SAMTEX.mof119.2005,SAMTEX.mof119.2005.edi,0.0693529405609387,-21.31739444444445,25.83360833333333,True,limpopo
SAMTEX.kal024.2008,SAMTEX.kal024.2008.edi,0.0711574006238089,-21.829894444444445,25.822941666666665,True,limpopo
SAMTEX.bot226.2005,SAMTEX.bot226.2005.edi,0.0733287957270857,-24.32742222222222,23.460083333333333,True,archean
SAMTEX.zim104.2005,SAMTEX.zim104.2005.edi,0.073419558814052,-21.934338888888888,27.325,True,archean
SAMTEX.dmb001.2006,SAMTEX.dmb001.2006.edi,0.0736327522448811,-18.312116666666668,17.998330555555558,True,paleoproterozoic_shields
SAMTEX.zim101.2005,SAMTEX.zim101.2005.edi,0.0737079364243744,-22.46545,27.19,True,limpopo
SAMTEX.mof113.2005,SAMTEX.mof113.2005.edi,0.0747912678106516,-21.17183888888889,24.788608333333336,True,paleoproterozoic_belts
SAMTEX.sso106.2005,SAMTEX.sso106.2005.edi,0.0756808170196482,-22.645275,27.12,True,limpopo
SAMTEX.san011.2008,SAMTEX.san011.2008.edi,0.0760339767712657,-21.6532,24.065830555555557,True,paleoproterozoic_belts
SAMTEX.rtz415.2005,SAMTEX.rtz415.2005.edi,0.0767556786770825,-23.786311111111115,21.277305555555554,True,paleoproterozoic_shields
SAMTEX.bot414.2005,SAMTEX.bot414.2005.edi,0.0768294732211742,-23.21433888888889,26.0575,True,limpopo
SAMTEX.kap009.2003,SAMTEX.kap009.2003.edi,0.0774941660982815,-31.27795,21.300830555555557,True,mesoproterozoic_belts
SAMTEX.kim422.2004,SAMTEX.kim422.2004.edi,0.0778854804449639,-25.10686666666667,19.952027777777776,True,paleoproterozoic_shields
