Site,File,Skew,Lat,Lon,Is1D
SAMTEX.kim420.2004,SAMTEX.kim420.2004.edi,0.02847044882726374,-25.35547777777778,20.26175,True
SAMTEX.mof112.2005,SAMTEX.mof112.2005.edi,0.028825154151291686,-21.147116666666665,24.623608333333333,True
SAMTEX.bot407.2005,SAMTEX.bot407.2005.edi,0.029291711857858917,-24.34572777777778,25.525830555555554,True
SAMTEX.kim423.2004,SAMTEX.kim423.2004.edi,0.02947406445694705,-24.994644444444447,19.834249999999997,True
SAMTEX.kim429.2004,SAMTEX.kim429.2004.edi,0.03259513906276064,-24.26992222222222,18.97036111111111,True
SAMTEX.kim314.2003-2006,SAMTEX.kim314.2003-2006.edi,0.033218478479391675,-29.463005555555554,25.394991666666666,True
SAMTEX.kim430.2004,SAMTEX.kim430.2004.edi,0.033334951148450156,-24.147144444444443,18.825083333333332,True
SAMTEX.kal019.2008,SAMTEX.kal019.2008.edi,0.03369804441092959,-22.385838888888888,25.047027777777778,True
SAMTEX.mof107.2005,SAMTEX.mof107.2005.edi,0.03494826322031007,-20.456005555555556,24.490555555555556,True
SAMTEX.kim432.2004,SAMTEX.kim432.2004.edi,0.03526955224721738,-23.91631111111111,18.546750000000003,True
SAMTEX.kim428.2004,SAMTEX.kim428.2004.edi,0.03539931759164598,-24.401588888888888,19.12491388888889,True
SAMTEX.kim413.2004,SAMTEX.kim413.2004.edi,0.03615372980700378,-26.152144444444442,21.22175,True
SAMTEX.GIB006A.2008,SAMTEX.GIB006A.2008.edi,0.03920052139982914,-24.8462,18.82702777777778,True
SAMTEX.san008.2008,SAMTEX.san008.2008.edi,0.039268917122698296,-22.128394444444446,24.176858333333335,True
SAMTEX.san006.2008,SAMTEX.san006.2008.edi,0.039313372005272886,-22.489005555555558,24.169469444444445,True
SAMTEX.bot420.2005,SAMTEX.bot420.2005.edi,0.04034749127281589,-22.293533333333336,26.767580555555554,True
SAMTEX.dmb035.2006,SAMTEX.dmb035.2006.edi,0.04148007659489066,-24.301561111111113,19.254719444444444,True
SAMTEX.kim011.2003-2006,SAMTEX.kim011.2003-2006.edi,0.042534732434094814,-29.024441666666664,24.85527777777778,True
SAMTEX.kim426.2004,SAMTEX.kim426.2004.edi,0.04302375521911589,-24.621033333333333,19.41647222222222,True
SAMTEX.k2g008.2006,SAMTEX.k2g008.2006.edi,0.043029753453956585,-22.83156111111111,22.043055555555558,True
SAMTEX.san002.2008,SAMTEX.san002.2008.edi,0.0436892061913234,-23.142588888888888,24.283969444444445,True
SAMTEX.kim431.2004,SAMTEX.kim431.2004.edi,0.04420592423291266,-24.056033333333335,18.66813888888889,True
SAMTEX.rtz416.2005,SAMTEX.rtz416.2005.edi,0.044768562103274206,-23.71545,21.102777777777778,True
SAMTEX.kim425.2004,SAMTEX.kim425.2004.edi,0.045285151540725786,-24.739894444444445,19.549719444444445,True
SAMTEX.sso107.2005,SAMTEX.sso107.2005.edi,0.04592627928870336,-22.524444444444445,26.963886111111112,True
SAMTEX.bot227.2005,SAMTEX.bot227.2005.edi,0.046709725860243835,-24.248505555555557,23.29416666666667,True
SAMTEX.san007.2008,SAMTEX.san007.2008.edi,0.04718139503093468,-22.313144444444447,24.17230277777778,True
SAMTEX.dmb033.2006,SAMTEX.dmb033.2006.edi,0.04776993774685064,-23.97853333333333,19.23311111111111,True
SAMTEX.kim427.2004,SAMTEX.kim427.2004.edi,0.04812429672097553,-24.510755555555555,19.25175,True
SAMTEX.CPV001.2006,SAMTEX.CPV001.2006.edi,0.04813802682301899,-17.859811111111114,19.136552777777776,True
SAMTEX.san003.2008,SAMTEX.san003.2008.edi,0.04818919809994435,-22.969838888888887,24.174719444444445,True
SAMTEX.mof108.2005,SAMTEX.mof108.2005.edi,0.04870667769809969,-20.618783333333333,24.415555555555553,True
SAMTEX.kim419.2004,SAMTEX.kim419.2004.edi,0.050505661613138644,-25.47853333333333,20.442305555555556,True
SAMTEX.k2g011.2006,SAMTEX.k2g011.2006.edi,0.05322060376261286,-23.217366666666663,22.371694444444444,True
SAMTEX.kal022.2008,SAMTEX.kal022.2008.edi,0.053444229113480554,-22.05583888888889,25.512108333333334,True
SAMTEX.mof114.2005,SAMTEX.mof114.2005.edi,0.05541345086195039,-21.252394444444445,24.956108333333333,True
SAMTEX.sso108.2005,SAMTEX.sso108.2005.edi,0.055628316756398434,-22.433330555555557,26.835830555555553,True
SAMTEX.kal021.2008,SAMTEX.kal021.2008.edi,0.05704552128963543,-22.175116666666668,25.345219444444442,True
SAMTEX.kal016.2008,SAMTEX.kal016.2008.edi,0.05711310192673403,-22.640394444444443,24.551358333333333,True
SAMTEX.mof111.2005,SAMTEX.mof111.2005.edi,0.05739396360958979,-21.091005555555554,24.447777777777777,True
SAMTEX.k2g009.2006,SAMTEX.k2g009.2006.edi,0.057586969335127615,-22.933200000000003,22.13288888888889,True
SAMTEX.dmb031.2006,SAMTEX.dmb031.2006.edi,0.05783397168039425,-23.634977777777777,19.121583333333334,True
SAMTEX.rtz407.2005,SAMTEX.rtz407.2005.edi,0.05942939008017599,-24.57656111111111,22.259441666666667,True
SAMTEX.bot231.2005,SAMTEX.bot231.2005.edi,0.05982093571142939,-23.670755555555555,22.741194444444446,True
SAMTEX.rtz414.2005,SAMTEX.rtz414.2005.edi,0.06002764698655234,-23.843330555555553,21.465555555555554,True
SAMTEX.kim424.2004,SAMTEX.kim424.2004.edi,0.060309990983979024,-24.83992222222222,19.68925,True
SAMTEX.mol105.2005,SAMTEX.mol105.2005.edi,0.06036458224206622,-23.860555555555557,24.86638611111111,True
SAMTEX.rtz419.2005,SAMTEX.rtz419.2005.edi,0.06054671966404462,-23.55072777777778,20.568608333333334,True
SAMTEX.kal012.2008,SAMTEX.kal012.2008.edi,0.06221994275224424,-22.510533333333335,23.836219444444442,True
SAMTEX.mof109.2005,SAMTEX.mof109.2005.edi,0.06246200258148874,-20.79322777777778,24.369441666666667,True
SAMTEX.ELZ294A.2008,SAMTEX.ELZ294A.2008.edi,0.06263496221953549,-17.711672222222223,24.511941666666665,True
SAMTEX.mof101.2005,SAMTEX.mof101.2005.edi,0.06310537622037891,-20.05295,23.479999999999997,True
SAMTEX.bot228.2005,SAMTEX.bot228.2005.edi,0.06364656513484565,-24.13992222222222,23.144805555555553,True
SAMTEX.rtz401.2005,SAMTEX.rtz401.2005.edi,0.06489474189417249,-24.236005555555558,23.245,True
SAMTEX.kof009.2004,SAMTEX.kof009.2004.edi,0.06491528136972421,-27.99888888888889,26.089719444444444,True
SAMTEX.mak006.2006,SAMTEX.mak006.2006.edi,0.06528927293772785,-20.210277777777776,25.091388888888886,True
SAMTEX.san009.2008,SAMTEX.san009.2008.edi,0.06585998078076971,-22.021838888888887,24.045580555555556,True
SAMTEX.kal023.2008,SAMTEX.kal023.2008.edi,0.06592216445351241,-21.938616666666668,25.672997222222225,True
SAMTEX.GIB010A.2008,SAMTEX.GIB010A.2008.edi,0.06626523912808009,-25.119366666666668,18.02861111111111,True
SAMTEX.kal009.2008,SAMTEX.kal009.2008.edi,0.06639797480172988,-22.367116666666668,23.238500000000002,True
SAMTEX.kal018.2008,SAMTEX.kal018.2008.edi,0.06645060737493581,-22.472116666666665,24.866469444444444,True
SAMTEX.rtz413.2005,SAMTEX.rtz413.2005.edi,0.06727844454205528,-23.939061111111112,21.6325,True
SAMTEX.RAK022A.2008,SAMTEX.RAK022A.2008.edi,0.0675895977428576,-17.737033333333333,18.406469444444443,True
SAMTEX.kim412.2004,SAMTEX.kim412.2004.edi,0.06801238091099915,-26.28658888888889,21.41952777777778,True
SAMTEX.ELZ192A.2008,SAMTEX.ELZ192A.2008.edi,0.06930942075257543,-17.67272777777778,24.29319166666667,True
SAMTEX.mof119.2005,SAMTEX.mof119.2005.edi,0.06935294056093876,-21.317394444444446,25.83360833333333,True
SAMTEX.kal024.2008,SAMTEX.kal024.2008.edi,0.07115740062380893,-21.829894444444445,25.822941666666665,True
SAMTEX.bot226.2005,SAMTEX.bot226.2005.edi,0.07332879572708575,-24.32742222222222,23.460083333333333,True
SAMTEX.zim104.2005,SAMTEX.zim104.2005.edi,0.07341955881405207,-21.934338888888888,27.325,True
SAMTEX.dmb001.2006,SAMTEX.dmb001.2006.edi,0.07363275224488113,-18.312116666666668,17.998330555555558,True
SAMTEX.zim101.2005,SAMTEX.zim101.2005.edi,0.07370793642437441,-22.46545,27.19,True
SAMTEX.mof113.2005,SAMTEX.mof113.2005.edi,0.07479126781065162,-21.17183888888889,24.788608333333336,True
SAMTEX.sso106.2005,SAMTEX.sso106.2005.edi,0.07568081701964825,-22.645274999999998,27.12,True
SAMTEX.san011.2008,SAMTEX.san011.2008.edi,0.07603397677126571,-21.6532,24.065830555555557,True
SAMTEX.rtz415.2005,SAMTEX.rtz415.2005.edi,0.07675567867708252,-23.786311111111115,21.277305555555554,True
SAMTEX.bot414.2005,SAMTEX.bot414.2005.edi,0.07682947322117421,-23.21433888888889,26.0575,True
SAMTEX.kap009.2003,SAMTEX.kap009.2003.edi,0.07749416609828158,-31.27795,21.300830555555557,True
SAMTEX.kim422.2004,SAMTEX.kim422.2004.edi,0.07788548044496396,-25.10686666666667,19.952027777777776,True
