period_s,Z_real,Z_imag,Z_err
0.003125,177.839,243.727,0.05261938806181615
0.0037735849056603774,152.884,225.426,0.049840947021500305
0.004366812227074236,138.094,204.243,0.04715983460530793
0.005154639175257732,121.242,184.122,0.01263202279921945
0.006289308176100629,105.15,165.359,0.011536507270400344
0.007575757575757576,95.504,144.767,0.032475529248959134
0.008695652173913044,87.5372,131.576,0.03059199405073164
0.010309280476140305,76.7388,116.643,0.00927621205018514
0.012658229450408792,64.7996,101.738,0.008587788423104053
0.015151519742884772,55.8625,89.2626,0.0073160173591920894
0.017543859649122806,51.438,80.9516,0.0068189148696841785
0.020408159100375693,44.8316,69.7639,0.006241482195760875
0.025,41.4004,61.6675,0.006097515887638178
0.030303030303030304,37.5695,53.9331,0.001638737318791514
0.03636363636363636,33.9984,47.2014,0.0016987465967589163
0.044444444444444446,31.4636,41.3469,0.0018892379416050272
0.05319148936170213,29.7012,36.936,0.0014681042197337354
0.0617283950617284,27.635,33.0144,0.0017890388480969327
0.07299270072992702,25.8096,29.8831,0.0015241095761132138
0.08928571428571429,24.2788,27.0918,0.0018072631241742305
0.1063830013580854,22.2714,22.7231,0.0017583913102606028
0.1234568053650377,21.3287,20.4829,0.0015797214944413462
0.1449274942239147,20.426,18.5943,0.0014713123393759735
0.17857139668367916,18.9887,16.3932,0.001758706911341398
0.2127660027161708,17.9776,14.7938,0.004195700179946131
0.243902379536005,17.085,13.5918,0.0026622511151279476
0.2941175605536587,16.1957,12.4402,0.004732525752703306
0.35587188612099646,15.4286,11.0196,0.006674488744465751
0.4273504273504274,14.4675,10.0619,0.0005235551546876413
0.4926108374384237,13.9149,9.42978,0.004816212204627201
0.5813953488372093,13.188,8.6077,0.008049348420835068
0.7092198581560284,12.3703,7.66708,0.0061950464082200386
0.8547008547008548,11.8111,7.03765,0.0005769800689798565
0.9803921568627451,11.2841,6.56329,0.0006337097127234204
1.1627909680909227,10.778,5.94313,0.00021807429926518163
1.42857102040828,10.2765,5.36332,0.00024332018000979697
1.6949149669635648,9.82642,4.95059,0.0008189909034903868
1.9607839292580533,9.58667,4.64732,0.001026352765865616
2.3255808545160805,9.34062,4.24975,0.0010805739215805645
2.857142857142857,8.99901,3.97261,0.0013048869682849929
3.4129692832764507,8.66145,3.85605,0.0012436840434772813
3.937007874015748,8.42315,3.68099,0.0013016105408300903
4.651162790697675,8.13538,3.61726,0.001371852761778756
5.6818181818181825,7.76133,3.47582,0.0012658593918757326
6.849315068493151,7.32258,3.32207,0.0012066482503198684
7.874015748031496,7.08547,3.25252,0.001349207174602922
9.345794392523365,6.82027,3.07961,0.0016183355647083827
11.363640237604628,6.52356,3.00297,0.00044719458851824227
13.698630136986303,6.06373,2.77316,0.0013625894466052495
15.873020912070132,5.88473,2.77783,0.0005195613534511588
18.51851851851852,5.78152,2.69097,0.00033761368455677266
22.727267561984647,5.55552,2.73044,0.0002193175779548917
27.027027027027028,5.18676,2.6785,0.0005103263661618906
31.25,4.92563,2.6693,0.0004217617811039782
37.174721189591075,4.68661,2.72184,0.00048805327578042135
45.45454545454546,4.35362,2.76785,0.0005961811805147828
54.6448087431694,3.96278,2.77194,0.0004912148206233195
62.893081761006286,3.61548,2.70085,0.00044283066741137065
74.6268656716418,3.3136,2.66251,0.0005998008002662217
90.90909090909092,2.92167,2.56181,0.0007162311079532918
108.69569943291279,2.51527,2.41035,0.00028115831839019094
126.58229450408791,2.31668,2.28596,0.00028695888207197907
149.25370906661058,2.05389,2.1745,0.00026149321214899635
181.81821487603906,1.73919,1.96228,0.00024887205548233013
217.3913043478261,1.49157,1.84648,0.0006651533657736387
250.0,1.41539,1.70688,0.0006732651780687903
294.1175605536586,1.21999,1.42049,0.0008768101276787353
363.6363636363637,1.09386,1.40944,0.00030749048765774855
436.6812227074236,0.91532,1.21428,0.0012552649122794758
505.0505050505051,0.793422,1.1711,0.00161387112248779
595.2380952380952,0.74902,1.06588,0.00149795527303054
729.9270072992701,0.591185,0.994917,0.0006612510869556284
877.1929824561404,0.567884,0.803195,0.0007892268368473033
1010.1010101010102,0.54486,0.795215,0.00018211287708451592
1190.4760487528513,0.436842,0.691263,0.00023537523234189276
1449.274942239147,0.314489,0.670122,0.0002934731674276202
1754.3859649122808,0.294997,0.537535,0.0010029805581365972
2000.0,0.191971,0.584502,0.0015023980830658698
2380.9518140590917,0.175066,0.427628,0.0008376360188053042
2941.1756055365868,0.128561,0.40023,0.0011694742408450047
