Site,Skew,Lat,Lon,Is1D,Tectonic_Unit
SAMTEX.CPV027.2006,0.1413165180895164,-17.710283333333333,23.860691666666668,True,neoproterozoic
SAMTEX.ELZ291A.2008,0.1083042065943136,-17.723783333333333,23.930275,True,neoproterozoic
SAMTEX.NEN003.2006,0.1785555303047085,-21.63206111111111,20.853275,True,mesoproterozoic_belts
SAMTEX.bot228.2005,0.0636465651348456,-24.13992222222222,23.144805555555553,True,archean
SAMTEX.bot407.2005,0.0292917118578589,-24.34572777777778,25.52583055555555,True,archean
SAMTEX.bot416.2005,0.1569011862542475,-22.96600555555555,26.37638888888889,True,limpopo
SAMTEX.dmb017.2006,0.1486510532029592,-21.19183888888889,18.524441666666664,True,neoproterozoic
SAMTEX.k2g006.2006,0.1037161499734006,-22.53017222222222,21.833108333333332,True,paleoproterozoic_belts
SAMTEX.kal017.2008,0.0838093155476053,-22.6447,24.75638888888889,True,limpopo
SAMTEX.kap010.2003,0.124582858556624,-31.14795,21.466941666666663,True,mesoproterozoic_belts
SAMTEX.kap067.2003,0.1519423971823439,-23.174441666666667,28.948055555555555,True,archean
SAMTEX.kim422.2004,0.0778854804449639,-25.10686666666667,19.952027777777776,True,paleoproterozoic_shields
SAMTEX.kim432.2004,0.0352695522472173,-23.91631111111111,18.546750000000003,True,paleoproterozoic_shields
SAMTEX.kim435.2004,0.1022002030285583,-23.59381111111111,18.124805555555557,True,paleoproterozoic_shields
SAMTEX.mak002.2006,0.105516470199454,-20.15608888888889,25.842552777777776,True,paleoproterozoic_belts
SAMTEX.mof102.2005,0.1274818142121939,-20.14545,23.648888888888887,True,mesoproterozoic_belts
SAMTEX.mof107.2005,0.03494826322031,-20.456005555555556,24.490555555555556,True,paleoproterozoic_belts
SAMTEX.oka008.2006,0.1403078505780439,-19.38136666666667,22.156441666666662,True,neoproterozoic
SAMTEX.rtz401.2005,0.0648947418941724,-24.23600555555556,23.245,True,archean
SAMTEX.rtz417.2005,0.0779792326134112,-23.630477777777777,20.926194444444445,True,paleoproterozoic_shields
SAMTEX.san006.2008,0.0393133720052728,-22.48900555555556,24.169469444444445,True,limpopo
SAMTEX.san008.2008,0.0392689171226982,-22.12839444444445,24.176858333333335,True,limpopo
SAMTEX.san011.2008,0.0760339767712657,-21.6532,24.065830555555557,True,paleoproterozoic_belts
SAMTEX.zim128.2005,0.1132391944761656,-18.41933888888889,25.524441666666664,True,mesoproterozoic_belts
