Site,File,Skew,Is1D
"Botswana, Africa",SAMTEX.bot414.2005.edi,0.07682947322117421,True
South Africa,SAMTEX.kap009.2003.edi,0.07749416609828158,True
"Kimberley, South Africa",SAMTEX.kim422.2004.edi,0.07788548044496396,True
"Tshane, Botswana, Africa",SAMTEX.rtz417.2005.edi,0.07797923261341126,True
"Orapa, Botswana, Africa",SAMTEX.sso109.2005.edi,0.07835809693589839,True
"Central Botswana, Africa",SAMTEX.san010.2008.edi,0.07850013327317151,True
"Makgadikgadi Park, Botswana, Africa",SAMTEX.mak009.2006.edi,0.0785404569044738,True
"Namibia, Africa",SAMTEX.dmb030.2006.edi,0.07873511974036997,True
"Botswana, Africa",SAMTEX.bot230.2005.edi,0.07898093310722816,True
"Okavango Lake, Botswana, Africa",SAMTEX.oka003.2006.edi,0.08003040625198296,True
"Kang to Ghazi, Botswana, Africa",SAMTEX.k2g010.2006.edi,0.08045238424501577,True
"Northern Namibia, Africa",SAMTEX.RAK025A.2008.edi,0.08062139023045556,True
"NE Namibia, Africa",SAMTEX.NEN021.2006.edi,0.08227529654801355,True
"Botswana, Africa",SAMTEX.bot413.2005.edi,0.08350837533950528,True
"Botswana, Africa",SAMTEX.mof110.2005.edi,0.08376232161944101,True
"Kalahari Game Reserve, Botswana, Africa",SAMTEX.kal017.2008.edi,0.08380931554760533,True
"Tshane, Botswana, Africa",SAMTEX.rtz420.2005.edi,0.08382006836745187,True
"Northern Namibia, Africa",SAMTEX.RAK024A.2008.edi,0.08405069596395295,True
"Tshane, Botswana, Africa",SAMTEX.rtz403.2005.edi,0.08600884558548849,True
"Kweneng, Botswana, Africa",SAMTEX.mol102.2005.edi,0.08651169110484436,True
"Okavango Lake, Botswana, Africa",SAMTEX.oka002.2006.edi,0.08757956842887224,True
"Northern Namibia, Africa",SAMTEX.RAK054A.2008.edi,0.08759946040765049,True
"Smithfield, South Africa",SAMTEX.KXT005A_auto.tru.2008.edi,0.0883228964370274,True
"Barotse Basin, Western Province, Zambia",PRIDE.ZAM14B_RH_ZAM15B.2011-2012.edi,0.08850209868550671,True
"Zimbabwe, Africa",SAMTEX.zim120.2005.edi,0.08920995622601001,True
South Africa,SAMTEX.kap006.2003.edi,0.08986447204760817,True
"NE Namibia, Africa",SAMTEX.CPV002.2006.edi,0.08993405728364634,True
"Botswana, Africa",SAMTEX.bot410.2005.edi,0.08999017885741255,True
"Coffiefontain, South Africa",SAMTEX.kof008.2004.edi,0.09017967568429822,True
"Coffiefontain, South Africa",SAMTEX.kof006.2004.edi,0.09118165834601442,True
"Coffiefontain, South Africa",SAMTEX.kof007.2004.edi,0.09180523962440597,True
"Weiveld, South Africa",SAMTEX.wita42.2005.edi,0.09194340928978888,True
"Tshane, Botswana, Africa",SAMTEX.rtz424.2005.edi,0.0921117093019792,True
"Namibia, Africa",SAMTEX.dmb102A.2006.edi,0.09240429981515728,True
"Kimberley, South Africa",SAMTEX.kim020.2003-2006.edi,0.09254686972488313,True
