     1.00000  +1.0195E+02 +1.4624E+00 +4.4172E+01 +4.1095E-01
      2.15443 +1.1100E+02 +1.5233E+00 +4.6672E+01 +3.9315E-01
      4.64159 +1.1821E+02 +1.3881E+00 +5.4047E+01 +3.3639E-01
     10.00000 +8.1063E+01 +7.8499E-01 +6.1041E+01 +2.7742E-01
     21.54435 +5.9113E+01 +5.1246E-01 +6.4313E+01 +2.4835E-01
     46.41589 +4.2061E+01 +3.6617E-01 +6.4197E+01 +2.4940E-01
    100.00000 +2.6596E+01 +2.4698E-01 +6.2334E+01 +2.6603E-01
    215.44347 +1.7096E+01 +1.6949E-01 +6.0285E+01 +2.8401E-01
    464.15888 +1.3237E+01 +1.6038E-01 +5.2712E+01 +3.4711E-01
   1000.00000 +1.3716E+01 +2.1594E-01 +3.8076E+01 +4.5103E-01
   2154.43469 +1.7452E+01 +3.1768E-01 +2.4471E+01 +5.2149E-01
   4641.58883 +3.2626E+01 +6.2412E-01 +1.6965E+01 +5.4802E-01
  10000.00000 +5.6141E+01 +1.0868E+00 +1.4545E+01 +5.5459E-01
 
