     0.00313 -2.0897E-01 -1.1028E-01 +7.0887E-03
     0.00758 -2.0255E-01 -8.8149E-02 +6.6269E-03
     0.01515 -1.8295E-01 -6.7976E-02 +5.8551E-03
     0.03636 -1.5819E-01 -4.9137E-02 +4.9695E-03
     0.07299 -1.5078E-01 -4.2532E-02 +4.6998E-03
     0.17857 -1.3607E-01 -4.9854E-02 +4.3474E-03
     0.35587 -1.0976E-01 -6.5095E-02 +3.8283E-03
     0.85470 -5.8801E-02 -6.4750E-02 +2.6239E-03
     1.96078 -2.3929E-02 -4.3240E-02 +1.4826E-03
     3.93701 -1.0926E-02 -2.6647E-02 +8.6401E-04
     9.34579 -4.7706E-03 -1.2535E-02 +4.0237E-04
    18.51852 -3.4021E-03 -6.9295E-03 +2.3159E-04
    45.45455 -2.6663E-03 -3.3908E-03 +1.2941E-04
    90.90909 -2.1822E-03 -2.4632E-03 +9.8725E-05
   217.39130 -1.3099E-03 -1.7036E-03 +6.4468E-05
   505.05051 -6.3270E-04 -1.1076E-03 +3.8267E-05
  1010.10101 -3.0829E-04 -6.9771E-04 +2.2883E-05
  2380.95181 -1.6655E-04 -3.6465E-04 +1.2027E-05
  4761.90476 -9.8304E-05 -1.8830E-04 +6.3726E-06
 11627.90968 -1.6806E-05 -1.2312E-04 +3.7279E-06
