     0.00313 +1.2776E-01 +7.9735E-02 +4.5179E-03
     0.00629 +1.0406E-01 +5.9883E-02 +3.6017E-03
     0.01266 +9.2248E-02 +5.4508E-02 +3.2145E-03
     0.02500 +6.0744E-02 +5.6932E-02 +2.4976E-03
     0.05319 +3.4166E-02 +4.0099E-02 +1.5804E-03
     0.12346 +1.8000E-02 +2.1975E-02 +8.5218E-04
     0.24390 +1.4829E-02 +1.3265E-02 +5.9689E-04
     0.49261 +1.2768E-02 +8.2295E-03 +4.5570E-04
     0.98039 +1.1311E-02 +6.0088E-03 +3.8423E-04
     1.96078 +9.6370E-03 +5.1340E-03 +3.2758E-04
     4.65116 +7.1014E-03 +4.7098E-03 +2.5564E-04
     9.34579 +5.3208E-03 +3.9555E-03 +1.9890E-04
    18.51852 +4.4928E-03 +2.4631E-03 +1.5371E-04
    37.17472 +3.4148E-03 +1.8431E-03 +1.1641E-04
    74.62687 +2.8442E-03 +1.6230E-03 +9.8240E-05
   149.25371 +2.0381E-03 +1.6390E-03 +7.8462E-05
   363.63636 +1.5471E-03 +1.3135E-03 +6.0885E-05
   729.92701 +8.1090E-04 +1.1701E-03 +4.2708E-05
  1449.27494 -2.6818E-03 +6.8057E-04 +8.3003E-05
  2941.17561 +6.1908E-04 +6.5770E-04 +2.7097E-05
