     0.00313 +9.1800E-02 +7.5710E-02 +3.5698E-03
     0.00629 +8.0010E-02 +6.9352E-02 +3.1765E-03
     0.01515 +5.1069E-02 +5.3389E-02 +2.2164E-03
     0.03030 +2.9283E-02 +3.9860E-02 +1.4838E-03
     0.06173 +1.6376E-02 +2.6684E-02 +9.3926E-04
     0.14493 +8.8577E-03 +1.4602E-02 +5.1235E-04
     0.29412 +5.5975E-03 +9.0109E-03 +3.1824E-04
     0.58140 +3.7489E-03 +5.1160E-03 +1.9028E-04
     1.42857 +2.9401E-03 +2.2353E-03 +1.1080E-04
     2.85714 +2.8482E-03 +1.1234E-03 +9.1853E-05
     5.68182 +2.8590E-03 +7.2845E-04 +8.8509E-05
    13.69863 +2.6978E-03 +7.2518E-04 +8.3808E-05
    27.02703 +2.3738E-03 +8.4441E-04 +7.5585E-05
    62.89308 +1.8543E-03 +9.2708E-04 +6.2193E-05
   126.58229 +1.3907E-03 +8.8724E-04 +4.9489E-05
   294.11756 +8.8966E-04 +7.7663E-04 +3.5428E-05
   595.23810 +5.7499E-04 +6.1675E-04 +2.5296E-05
  1190.47605 +3.3855E-04 +4.5208E-04 +1.6944E-05
  2941.17561 +1.6745E-04 +2.5800E-04 +9.2274E-06
  5813.95349 +9.6420E-05 +1.7782E-04 +6.0685E-06
