     1.00000 +1.0600E+02 +1.5206E+00 +4.4172E+01 +4.1095E-01
      2.15443 +1.2622E+02 +1.7322E+00 +4.6672E+01 +3.9315E-01
      4.64159 +9.4925E+01 +1.1146E+00 +5.4047E+01 +3.3639E-01
     10.00000 +8.7963E+01 +8.5181E-01 +6.1041E+01 +2.7742E-01
     21.54435 +5.7854E+01 +5.0155E-01 +6.4313E+01 +2.4835E-01
     46.41589 +3.5322E+01 +3.0750E-01 +6.4197E+01 +2.4940E-01
    100.00000 +2.6591E+01 +2.4694E-01 +6.2334E+01 +2.6603E-01
    215.44347 +1.9805E+01 +1.9634E-01 +6.0285E+01 +2.8401E-01
    464.15888 +1.6622E+01 +2.0140E-01 +5.2712E+01 +3.4711E-01
   1000.00000 +1.4660E+01 +2.3080E-01 +3.8076E+01 +4.5103E-01
   2154.43469 +1.5968E+01 +2.9068E-01 +2.4471E+01 +5.2149E-01
   4641.58883 +3.5751E+01 +6.8390E-01 +1.6965E+01 +5.4802E-01
  10000.00000 +5.7098E+01 +1.1054E+00 +1.4545E+01 +5.5459E-01
 
