     1.00000 +1.0645E+02 +1.5271E+00 +4.4172E+01 +4.1095E-01
      2.15443 +1.0609E+02 +1.4560E+00 +4.6672E+01 +3.9315E-01
      4.64159 +1.0710E+02 +1.2576E+00 +5.4047E+01 +3.3639E-01
     10.00000 +8.7056E+01 +8.4303E-01 +6.1041E+01 +2.7742E-01
     21.54435 +5.1388E+01 +4.4549E-01 +6.4313E+01 +2.4835E-01
     46.41589 +4.1480E+01 +3.6111E-01 +6.4197E+01 +2.4940E-01
    100.00000 +2.8375E+01 +2.6350E-01 +6.2334E+01 +2.6603E-01
    215.44347 +1.9862E+01 +1.9690E-01 +6.0285E+01 +2.8401E-01
    464.15888 +1.3990E+01 +1.6951E-01 +5.2712E+01 +3.4711E-01
   1000.00000 +1.3064E+01 +2.0568E-01 +3.8076E+01 +4.5103E-01
   2154.43469 +1.7668E+01 +3.2162E-01 +2.4471E+01 +5.2149E-01
   4641.58883 +3.3463E+01 +6.4013E-01 +1.6965E+01 +5.4802E-01
  10000.00000 +5.4626E+01 +1.0575E+00 +1.4545E+01 +5.5459E-01
 
